시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,우편번호,도로명주소,분양형태,사용승인일,가입일,동수,세대수,분양세대수,임대세대수,임대세대수(공공),임대세대수(민간),관리방식,난방방식,복도유형,시공사,시행사,주택관리업자,주택관리업자 사업자등록번호,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체,연간소독횟수,소독방법,건물구조,전기-수전용량,전기-세대전기계약방식,전기안전관리자선임여부,화재수신반방식,급수방식,승강기관리-관리방식,승강기(승객용),승강기(화물용),승강기(승객+화물),승강기(장애인),승강기(비상용),승강기(기타),총주차대수,지상주차대수,지하주차대수,CCTV대수,홈네트워크,긴급자동차 출입가능한 출입문,선택한출입문의 주차관제시스템,긴급전용번호판자동인식여부,긴급자동차 출입방법,긴급자동차 즉시통과,관리사무소 주소,관리사무소 연락처,관리사무소 팩스,부대복리시설,최고층수,최고층수(건축물대장상),지하층수,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
부산광역시,사하구,,괴정동,A10027002,IDS아델하임,도시형 생활주택(주상복합),부산광역시 사하구 괴정동 955-4 IDS아델하임,49358,부산광역시 사하구 사하로 182,분양,20170502,20170530,1,265,265,0,0,0,위탁관리,개별난방,복도식,청목E&C(주),KB부동산신탁(주),(주)디이씨오,6048134470,위탁관리,2,위탁관리,2,(주)디이씨오,위탁관리,2,,음식물쓰레기종량제,위탁관리,,5,분무식,철골철근콘크리트구조,1250,종합계약,위탁선임,GR형,부스타방식,위탁관리,0,0,0,2,1,0,186,0,186,72,무,정문,무,,,가능,부산광역시 사하구 사하로 182,512948711,512948712,"관리사무소, 커뮤니티공간, 자전거보관소",22,22,4,167,1,미설치,설치,0,3,,입주민전용,,23시 59분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|파워큐브차저|,0,3,없음
부산광역시,사하구,,괴정동,A10022407,경성스마트W2차,주상복합,부산광역시 사하구 괴정동 263-1 경성스마트W2차,,,분양,20170814,20240829,3,123,123,0,0,0,위탁관리,개별난방,혼합식,(주)경성리츠,(주)경성리츠,(주)장천,6178135738,위탁관리,2,,,,위탁관리,1,(주)장천,,위탁관리,부산환경공사,,-,철골콘크리트구조,950,단일계약,위탁선임,R형,부스타방식,위탁관리,0,0,0,0,0,0,166,48,118,46,유,후문,유,부,,가능,부산광역시 사하구 낙동대로 182,517172810,,,17,,3,174,2,설치,설치,2,2,외부인허용,외부인허용,0시 0분,0시 0분,0시 0분,0시 0분,"◆1◆|지상|벽부형충전기|AC단상 5핀|완속|2|LG유플러스볼트업|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|2|LG유플러스볼트업|",2,2,없음
부산광역시,사하구,,괴정동,A10027875,괴정 경성스마트W아파트,주상복합,부산광역시 사하구 괴정동 258 괴정 경성스마트W아파트,49338,부산광역시 사하구 낙동대로 180,분양,20150806,20151013,3,182,182,0,0,0,자치관리,개별난방,혼합식,(주)경성리츠,(주)경성리츠, ,,자치관리,2,자치관리(직영),2,,자치관리,1,,차량수거방식,위탁관리,,5,분무식,철근콘크리트구조,1310,단일계약,위탁선임,R형,부스타방식,위탁관리,5,0,0,0,0,0,162,0,162,20,유,정문,무,,,가능,부산광역시 사하구 낙동대로180 경성스마트W아파트 관리사무소,512949363,512949364,관리사무소,15,15,2,180,1,미설치,미설치,0,0,,,,,,,,,,없음
부산광역시,사하구,,괴정동,A10028150,괴정K스타파크 아파트,아파트,부산광역시 사하구 괴정동 208 괴정K스타파크 아파트,49319,부산광역시 사하구 사리로70번길 24,분양,20150113,20150226,4,248,248,0,0,0,위탁관리,개별난방,계단식,(주)유성건설,케이비부동산신탁,(주)장천,6178135738,위탁관리,3,위탁관리,2,(주)동아에스엔씨,위탁관리,2,동아에스엔씨,음식물쓰레기종량제,자치관리,,,도포식,철근콘크리트구조,950,단일계약,상주선임,R형,부스타방식,위탁관리,9,0,0,0,0,0,252,72,180,57,무,정문,무,,,가능,49319,512013920,512013921,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",15,15,2,248,3,미설치,설치,0,3,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|파워큐브코리아|,0,3,없음
부산광역시,사하구,,괴정동,A60481201,괴정경동메르빌,아파트,부산광역시 사하구 괴정동 619-16 괴정경동메르빌,49394,부산광역시 사하구 괴정로244번길 57,분양,20061204,20090511,3,163,163,0,0,0,위탁관리,개별난방,계단식,(주)경동건설,(주)경동건설,남부공영(주),6078121523,위탁관리,2,위탁관리,2,태영종합개발,위탁관리,2,,음식물쓰레기종량제,위탁관리,,,-,철근콘크리트구조,950,단일계약,위탁선임,P형,부스타방식,위탁관리,5,0,0,0,0,0,166,78,88,32,무,정문,무,,,가능,부산시 사하구 괴정로 244번길 57,512036894,512036895,"관리사무소, 노인정, 어린이놀이터",15,15,0,201,1,미설치,설치,0,4,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|휴맥스ev|,0,4,없음
부산광역시,사하구,,괴정동,A60481203,괴정국제,아파트,부산광역시 사하구 괴정동 491-9 괴정국제,49388,부산광역시 사하구 사하로141번길 20,분양,19850605,20090511,2,176,176,0,0,0,자치관리,개별난방,계단식,국제건설,국제, ,,자치관리,3,자치관리,3,,위탁관리,1,현대용역,음식물쓰레기종량제,자치관리,,4,분무식,철근콘크리트구조,500,단일계약,위탁선임,P형,부스타방식,위탁관리,8,0,0,0,0,0,150,150,0,30,무,정문,무,,,가능,부산 사하구 사하로 141번길 20,512930847,512940848,"관리사무소, 노인정, 어린이놀이터",11,11,1,170,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,괴정동,A60480804,괴정스타클래스아파트,아파트,부산광역시 사하구 괴정동 213-6 괴정스타클래스아파트,49319,부산광역시 사하구 대티로1번길 22,분양,20070430,20090511,8,470,470,0,0,0,위탁관리,개별난방,계단식,극동건설,부산신괴정재건축조합외1,(주)에이치엠 우성,6058147662,위탁관리,5,위탁관리,6,(유)엘림에스,위탁관리,4,(주)듀델코리아,음식물쓰레기종량제,위탁관리,녹생환경 클린케어,8,"도포식,분무식",철근콘크리트구조,2250,단일계약,상주선임,R형,부스타방식,위탁관리,15,0,0,0,0,0,475,167,308,98,무,정문,무,,,가능,부산시 사하구 대티로1번길 22,512042329,519192329,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",25,25,0,473,6,설치,설치,7,5,입주민전용,입주민전용,0시 0분,0시 0분,0시 0분,0시 0분,"◆1◆|지상|벽부형충전기|AC단상 5핀|완속|7|LG U+|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|5|LG U+|",7,5,있음
부산광역시,사하구,,괴정동,A10024844,괴정신동아파밀리에 아파트,아파트,부산광역시 사하구 괴정동 1283 괴정신동아파밀리에 아파트,49360,부산광역시 사하구 사하로142번길 38,분양,20200602,20200629,4,150,150,0,0,0,위탁관리,개별난방,계단식,신동아건설,군월드건설, ,,위탁관리,2,위탁관리,2,(주)듀델코리아,위탁관리,2,(주)듀델코리아,차량수거방식,관리방식미정,,2,-,철근콘크리트구조,1215,종합계약,위탁선임,R형,압력탱크식,위탁관리,7,0,0,0,0,0,143,74,69,63,유,정문,유,부,관리자 등이 긴급자동차임을 확인한 후 차단기를 수동으로 개방해 주는 경우,불가능,부산광역시 사하구 괴정동 472-27,512040142,512020142,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",19,19,2,67,2,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,괴정동,A60481001,괴정신익타운,아파트,부산광역시 사하구 괴정동 398-22 괴정신익타운,49360,부산광역시 사하구 오작로 46,분양,19910423,20090511,4,228,228,0,0,0,자치관리,개별난방,혼합식,신익건설,신익개발, ,,자치관리,3,자치관리,4,,자치관리,2,,음식물쓰레기종량제,자치관리,,3,분무식,철근콘크리트구조,345,종합계약,위탁선임,P형,고가수조식,위탁관리,7,0,0,0,0,0,144,144,0,16,무,정문,무,,,가능,부산사하구오작로46,512039964,512039964,"관리사무소, 노인정, 어린이놀이터",15,15,0,163,0,설치,미설치,3,0,외부인허용,,0시 0분,시 분,23시 59분,시 분,◆1◆|지상|스탠드형충전기|직접입력|완속|3|(주)에버온|,3,0,없음
부산광역시,사하구,,괴정동,A10025542,괴정어반푸르지오,주상복합,부산광역시 사하구 괴정동 950-2 괴정어반푸르지오,49381,부산광역시 사하구 사하로 189,분양,20190215,20190513,1,152,152,0,0,0,위탁관리,개별난방,복도식,대우건설,서호도시개발,(주)명건,6078135065,위탁관리,4,,,,위탁관리,2,,음식물쓰레기종량제,자치관리,,,-,철골철근콘크리트구조,1550,종합계약,상주선임,R형,부스타방식,위탁관리,2,0,0,0,2,0,175,0,175,61,유,지하주차장,유,부,긴급자동차가 출입가능하도록 사전에 차량번호를 출입가능차량명부에 등록하는 경우,가능,부산시 사하구 사하로 189,512949596,512949597,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소",23,23,5,142,0,미설치,설치,0,3,,입주민전용,,7시 0분,,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|(주)파워큐브코리아|,0,3,없음
부산광역시,사하구,,괴정동,A60470801,괴정엔스타,주상복합,부산광역시 사하구 괴정동 1016-1 괴정엔스타,49355,부산광역시 사하구 낙동대로 203,분양,20110923,20111124,2,234,234,0,0,0,위탁관리,개별난방,계단식,엔스타건설,괴정시장 정비 조합,(주)에이비씨서비스,3728600893,위탁관리,3,자치관리,3,,자치관리,2,,음식물쓰레기종량제,위탁관리,주)주안시스템,4,분무식,철근콘크리트구조,1350,단일계약,위탁선임,R형,부스타방식,위탁관리,2,0,2,0,0,0,259,0,259,64,무,정문,무,,,가능,"부산시 사하구 낙동대로 203(괴정동, 엔스타아파트)",512931238,512061238,"관리사무소, 휴게시설",33,33,5,242,0,미설치,미설치,0,0,,입주민전용,시 분,시 분,시 분,시 분,,,,있음
부산광역시,사하구,,괴정동,A60481303,괴정일동지에닌아파트,주상복합,부산광역시 사하구 괴정동 571-8 괴정일동지에닌아파트,49401,부산광역시 사하구 낙동대로 301,분양,20040810,20090511,1,211,211,0,0,0,위탁관리,개별난방,계단식,일동건설,일동건설,삼성T.M.S,6078138188,위탁관리,2,위탁관리,2,(주)삼성티엠에스,위탁관리,2,(주)삼성티엠에스,음식물쓰레기종량제,관리방식미정,,,-,철근콘크리트구조,1150,단일계약,위탁선임,R형,부스타방식,위탁관리,5,0,0,0,0,0,267,35,232,39,무,지하주차장1,무,,,가능,부삼광역시 사하구 낙동대로 301,512031964,512031965,"관리사무소, 휴게시설, 자전거보관소",25,25,2,204,4,미설치,설치,0,6,,입주민전용,,9시 0분,,18시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|6|주식회사 이지차저|,0,6,없음
부산광역시,사하구,,괴정동,A60485510,괴정자유1차아파트,아파트,부산광역시 사하구 괴정동 740 괴정자유1차아파트,49379,부산광역시 사하구 낙동대로 263,분양,19820901,20090511,6,320,320,0,0,0,자치관리,개별난방,계단식,자유건설,자유건설, ,,자치관리,4,위탁관리,10,(주)듀델코리아,위탁관리,4,,차량수거방식,위탁관리,,3,분무식,철근콘크리트구조,1345,종합계약,상주선임,P형,부스타방식,위탁관리,14,0,0,0,0,0,369,369,0,72,무,정문,유,부,관리자 등이 긴급자동차임을 확인한 후 차단기를 수동으로 개방해 주는 경우,불가능,부산광역시 사하구 낙동대로 263(괴정동),512020977,512020967,"관리사무소, 노인정, 어린이놀이터, 휴게시설",12,12,0,369,20,설치,미설치,7,0,입주민전용,,9시 0분,,21시 0분,,"◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|4|(주)파워큐브코리아|,◆2◆|지상|벽부형충전기|AC단상 5핀|완속|3|(주)파워큐브코리아|",7,0,없음
부산광역시,사하구,,괴정동,A60481505,괴정자유2차,아파트,부산광역시 사하구 괴정동 1064-1 괴정자유2차,49321,부산광역시 사하구 승학로233번길 50,분양,19970201,20090511,2,235,235,0,0,0,자치관리,개별난방,계단식,자유건설(주),동해산업(주), ,,자치관리,3,자치관리,3,,자치관리,2,,음식물쓰레기종량제,자치관리,,16,"도포식,분무식",철근콘크리트구조,450,단일계약,위탁선임,P형,고가수조식,위탁관리,8,0,0,0,0,0,131,103,28,32,무,정문,무,,,가능,부산광역시 사하구 승학로 233번길 50,512086808,519840634,"관리사무소, 어린이놀이터",15,15,1,218,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,괴정동,A60481508,괴정자유3차,아파트,부산광역시 사하구 괴정동 1065 괴정자유3차,49321,부산광역시 사하구 승학로233번길 33,분양,19970124,20090511,1,298,298,0,0,0,위탁관리,개별난방,혼합식,자유건설,자유건설, ,,위탁관리,3,자치관리,3,,위탁관리,3,고태,음식물쓰레기종량제,자치관리,,4,-,철근콘크리트구조,960,단일계약,위탁선임,R형,고가수조식,위탁관리,6,0,0,0,0,0,223,95,128,32,무,정문,무,,,가능,부산시 사하구 승학로 233번길 33,512020382,519660382,"관리사무소, 노인정, 어린이놀이터",25,25,1,265,3,미설치,설치,0,2,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|이동형충전기|AC단상 5핀|완속|2|(주)파워큐브코리아|,0,2,없음
부산광역시,사하구,,괴정동,A60470501,괴정참누리아파트,아파트,부산광역시 사하구 괴정동 207-52 괴정참누리아파트,49320,부산광역시 사하구 대티로17번길 47,분양,20120618,20120426,2,165,165,0,0,0,자치관리,개별난방,계단식,울트라건설,아시아신탁(티엔지개발), ,,자치관리,2,자치관리,2,,자치관리,2,,거점장비수거방식,자치관리(직영),,4,분무식,철근콘크리트구조,1050,단일계약,위탁선임,R형,부스타방식,위탁관리,7,0,0,0,0,0,176,45,131,36,무,정문,무,,,가능,부산광역시 사하구 대티로17번길 47,512949441,512949442,"관리사무소, 노인정, 어린이놀이터",15,15,2,205,5,미설치,설치,,4,,,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|2|파워큐브|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|7|0.9|",0,9,없음
부산광역시,사하구,,괴정동,A10023969,괴정한신더휴아파트,아파트,부산광역시 사하구 괴정동 218-32 괴정한신더휴아파트,49319,부산광역시 사하구 사리로 106,혼합,20220610,20220119,11,835,793,42,0,42,위탁관리,개별난방,계단식,한신공영(주),괴정2구역 주택재개발 정비사업 조합,(주)디이씨오,6048134470,위탁관리,7,위탁관리,6,(주)디이씨오,위탁관리,10,(주)디이씨오,음식물쓰레기종량제,위탁관리,(주)소명환경,3,분무식,철골철근콘크리트구조,4750,종합계약,상주선임,GR형,부스타방식,위탁관리,21,0,0,0,0,0,902,5,897,284,유,정문,유,여,,가능,부산시 사하구 사리로 106,512949606,512949607,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",29,29,3,900,14,미설치,설치,0,5,,입주민전용,,24시 1분,,24시 1분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|4|코스텔|,◆2◆|지하|스탠드형충전기|AC단상 5핀|급속|1|코스텔|",0,5,있음
부산광역시,사하구,,괴정동,A10027464,괴정협성휴포레아파트,아파트,부산광역시 사하구 괴정동 952-1 괴정협성휴포레아파트,49382,부산광역시 사하구 사하로 183,분양,20160525,20160727,3,299,299,0,0,0,위탁관리,개별난방,계단식,주)협성건설,주)협성건설,(주)삼성T.M.S,6078138188,위탁관리,6,위탁관리,4,(주)에스원,위탁관리,4,(주)삼성보안공사,음식물쓰레기종량제,위탁관리,,5,분무식,철근콘크리트구조,2250,종합계약,상주선임,R형,부스타방식,위탁관리,8,0,0,0,0,0,484,0,484,101,무,지하주차장,유,부,관리자 등이 긴급자동차임을 확인한 후 차단기를 수동으로 개방해 주는 경우,불가능,부산시 사하구 사하로 183,512042920,512042921,"관리사무소, 어린이놀이터, 자전거보관소",29,29,4,473,0,미설치,미설치,0,10,,,,,,,,,,없음
부산광역시,사하구,,괴정동,A60481209,괴정협진태양,아파트,부산광역시 사하구 괴정동 530-13 괴정협진태양,49387,부산광역시 사하구 괴정로270번길 34,분양,19810311,20090511,9,300,300,0,0,0,자치관리,개별난방,계단식,협진주택(주),협진주택(주), ,,자치관리,3,자치관리,3,,자치관리,2,,음식물쓰레기종량제,자치관리,,4,분무식,철근콘크리트구조,675,단일계약,위탁선임,기타,고가수조식,,,0,0,0,0,0,240,240,0,16,무,정문,무,,,가능,부산광역시 사하구 괴정동 530-13,512027908,512027908,"관리사무소, 노인정, 어린이놀이터",5,5,0,218,0,미설치,미설치,0,0,,,,,,,,,,없음
부산광역시,사하구,,괴정동,A60481601,동진그린힐아파트,아파트,부산광역시 사하구 괴정동 1207-4 동진그린힐아파트,49392,부산광역시 사하구 장평로 378,분양,19950608,20090511,1,207,207,0,0,0,위탁관리(직영+위탁),개별난방,혼합식,동진종합건축(주),동진종합건축(주), ,,위탁관리(직영+위탁),2,위탁관리,4,삼성보안공사,위탁관리,2,삼성보안,음식물쓰레기종량제,자치관리,,3,"분무식,기구부착식",철근콘크리트구조,720,기타,위탁선임,P형,고가수조식,위탁관리,5,0,0,0,0,0,139,46,93,32,무,정문,무,,,가능,부산시 사하구 장평로 378번지,519923908,512053907,"관리사무소, 노인정, 어린이놀이터",20,20,1,167,0,미설치,미설치,0,3,,,시 분,시 분,시 분,시 분,,,,없음
부산광역시,사하구,,괴정동,A60480703,벽산하이츠아파트,아파트,부산광역시 사하구 괴정동 352-34 벽산하이츠아파트,49360,부산광역시 사하구 오작로 104,분양,19951113,20090511,2,299,299,0,0,0,위탁관리,개별난방,혼합식,벽산건설(주),하이츠건설(주),(주)하나티엠,6058124811,위탁관리,3,위탁관리,3,(주)신성,위탁관리,2,(주)신성,음식물쓰레기종량제,위탁관리,페스텍,3,분무식,철근콘크리트구조,690,단일계약,위탁선임,P형,부스타방식,위탁관리,0,0,6,0,0,0,221,136,85,32,무,정문,무,,,가능,부산광역시 사하구 오작로104(괴정동),512917948,519927948,"관리사무소, 노인정, 어린이놀이터",23,23,1,269,1,설치,미설치,5,0,입주민전용,,0시 0분,,23시 59분,,◆1◆|지상|벽부형충전기|직접입력|완속|5|(주)엘지유플러스|,5,0,없음
부산광역시,사하구,,괴정동,A10024383,사하역비스타동원,아파트,부산광역시 사하구 괴정동 1284 사하역비스타동원,49343,부산광역시 사하구 낙동대로 280,분양,20210126,20210311,4,513,513,0,0,0,위탁관리,개별난방,계단식,동원개발,괴정지역주택조합,(주)청풍산업,6038151670,위탁관리,5,위탁관리,4,(주)태협,위탁관리,5,(주)태협,음식물쓰레기종량제,관리방식미정,,,-,철골철근콘크리트구조,2400,종합계약,상주선임,R형,부스타방식,위탁관리,13,0,0,0,0,0,616,0,616,198,유,지하주차장,유,부,긴급자동차가 출입가능하도록 사전에 차량번호를 출입가능차량명부에 등록하는 경우,가능,부산시 사하구 낙동대로280,512715501,512715502,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",32,32,4,630,12,미설치,설치,0,13,,,,0시 1분,,23시 59분,"◆1◆|지하|스탠드형충전기|직접입력|급속|1|현대엔지니어링|,◆2◆|지하|벽부형충전기|직접입력|완속|12|현대엔지니어링|",0,13,없음
